text,label
"We should not run another 100+ guest event with under 8 hosts.",staffing
"The ballroom capacity is 80 and we seated 110; fire warden was unhappy.",venue
"No wheelchair ramp; two guests could not reach the terrace.",venue
"AC died at 7pm and the hall became unusable.",venue
"Stage blocked the emergency exit.",venue
"Restrooms were one floor down with no signage.",venue
"Garden layout had no backup indoor space when the client wanted one.",venue
"Kitchen is too far from the hall; food arrived cold. That's a venue flow issue.",venue
"Sound from the neighboring hall bled into our ceremony.",venue
"Ceiling is too low for the lighting rig the client expected.",venue
"Loading dock was locked so we carried crates through the lobby.",venue
"The Pearl Ballroom floor is slippery; two guests fell.",venue
"No staff room; hosts changed in the bathroom.",venue
"Wi-Fi dropped so our check-in tablets failed — venue infrastructure.",venue
"Outdoor generator was not provided though the contract listed it.",venue
"Tables were a different size than the floor plan we were given.",venue
"The venue banned extra lighting 30 minutes before doors.",venue
"Parking structure elevator was out; elderly guests struggled. Venue side.",venue
"Bridal suite smelled of paint from renovations.",venue
"We could not fit the buffet and the dance floor in this room.",venue
"Accessibility toilet was used as storage.",venue
"The indoor map we published did not match the real corridors.",venue
"Capacity on the listing was wrong; this space is smaller than advertised.",venue
"Rain was fine; the problem was there is no covered walkway from valet.",venue
"Client loved the staff. The venue itself was the weak point.",venue
"Doors to the terrace slam in any breeze; not a weather call, it's the building.",venue
"It rained hard at 4pm with no tent over the garden ceremony.",weather
"Forecast said storms and we still kept the full program outdoors.",weather
"Extreme heat; several guests felt unwell in the uncovered courtyard.",weather
"Wind knocked over the welcome sign and flower walls.",weather
"Humidity ruined the outdoor dessert display.",weather
"Sudden hail forced everyone inside a room that was not prepared.",weather
"Sunset glare on the terrace made the speeches impossible without moving.",weather
"We ignored the weather tool warning for Byblos coastal wind.",weather
"Rain started during cocktail and we had no umbrellas or side rooms ready.",weather
"Cold drop at night; outdoor bar team had no heaters.",weather
"Dust storm made the garden unusable for photos.",weather
"Weather flipped from sun to rain in 20 minutes; no plan B.",weather
"Outdoor heaters were requested because of the forecast and never arrived. Still a weather ops miss.",weather
"The event was beachfront and tide came higher than expected.",weather
"Lightning delay lasted an hour; we had no indoor activity.",weather
"Morning dew soaked the ceremony chairs; nobody checked overnight weather.",weather
"Client wanted lawn games in August midday heat. We should have moved them.",weather
"Rain was light but the uncovered cable runs became a safety issue.",weather
"Weather, not staffing, caused the delay. Plenty of hosts were standing by.",weather
"We needed a covered backup from the start for this open-air villa.",weather
"Humidity and no airflow outdoors fogged the cameras and guest glasses.",weather
"A weather alert went out at noon and nobody updated the run of show.",weather
"The only serious risk tonight was the storm cell, not clothes or vans.",weather
"Guests left early because it was too cold on the roof.",weather
"Next time this venue is outdoor-only, weather readiness has to pass first.",weather
"Check-in was smooth, outfits fit, vans were on time, client thanked the team.",all_clear
"No issues to escalate. Staffing matched the guest count and the hall worked.",all_clear
"Weather stayed clear and we did not need the tent. Good event.",all_clear
"Clothing, transport, and venue all fine. I would run this playbook again.",all_clear
"Hosts arrived together, uniforms correct, no shortages.",all_clear
"A small spill was cleaned quickly; nothing operational failed.",all_clear
"Client was happy with greeting, timing, and appearance.",all_clear
"Team leader briefing was accurate; everyone knew their door.",all_clear
"Ride list was short and the driver hit every pickup.",all_clear
"Inventory matched the names on the clothing sheet.",all_clear
"Indoor ballroom, mild night, no weather exposure. All good.",all_clear
"We had one extra host which actually helped. No shortage.",all_clear
"Debrief is positive. Do not open a clothing or transport ticket.",all_clear
"Guests commented on how organized check-in felt.",all_clear
"Teardown finished on time and the venue signed off.",all_clear
"No no-shows. Full accepted roster present.",all_clear
"Plan B was not needed. Keep the same vendor set.",all_clear
"Communication with the client was clear all night.",all_clear
"I rated this 5 stars. Operations held.",all_clear
"Minor radio glitch for two minutes, then fine. Not an ops failure.",all_clear
"This is the standard we want: enough people, right clothes, on time.",all_clear
"Nothing about rain, vans, or shirts went wrong.",all_clear
"Ready to mark this event closed with no follow-up tasks.",all_clear
"Family asked to book us again. No internal issues to log.",all_clear
"All_clear from my side as team leader. Great crew.",all_clear
